player_id,name,match_tier,club_before,club_after,league_before,league_after
248784,Timothé Nkada,id,Standard de Liège,Standard Liège,Pro League,1A Pro League
262865,Facundo Sanguinetti,id,CA Banfield,Banfield,Liga Profesional de Fútbol,LPF
226386,Luca Sosa,id,Newell's Old Boys,Newell's,Liga Profesional de Fútbol,LPF
226401,Kieran Dowell,id,Rangers FC,Rangers,Premiership,Scottish Prem
232704,Takuma Ominami,id,Oud-Heverlee Leuven,OH Leuven,Pro League,1A Pro League
234955,Andrés Sarmiento,id,Atlético Nacional,Atl. Nacional,Categoría Primera A,Libertadores
236046,Ivan Zlobin,id,Famalicão,FC Famalicão,Primeira Liga,Liga Portugal
250842,Joel Graterol,id,América de Cali,,Categoría Primera A,Sudamericana
259904,Gonzalo Valle,id,LDU Quito,,Serie A,Libertadores
158784,Jorge Carranza,id,CA Aldosivi,Aldosivi,Liga Profesional de Fútbol,LPF
222165,Emil Hansson,id,Blackpool FC,Blackpool,League One,EFL League One
225844,Daniele Verde,id,Spezia,,Serie B,Serie BKT
228136,Joan Castro,id,Atlético Nacional,Atl. Nacional,Categoría Primera A,Libertadores
274452,Lukáš Vorlický,id,SK Slavia Praha,Slavia Praha,První liga,Česká Liga
199667,Ramiro Funes Mori,id,Estudiantes de La Plata,Estudiantes,Liga Profesional de Fútbol,LPF
253036,Nathanaël Mbuku,id,Montpellier HSC,Montpellier,Ligue 2,Ligue 2 BKT
266648,Gonzalo Carneiro,id,Club Nacional de Football,,Primera División,Libertadores
72852,Cristian Shpendi,id,Cesena FC,Cesena,Serie B,Serie BKT
205972,Rubén Bentancourt,id,Argentinos Juniors,Argentinos Jrs.,Liga Profesional de Fútbol,LPF
264085,David Brekalo,id,Orlando City SC,Orlando City,Major League Soccer,MLS
265396,Carlos Martín,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
233404,Iván Rojas,id,Once Caldas,,Categoría Primera A,Sudamericana
240856,Bilal Bayazıt,id,Kayserispor,,Süper Lig,Trendyol Süper Lig
260738,Alejo Cruz,id,Peñarol,,Primera División,Libertadores
275046,Bruno Damiani,id,Philadelphia Union,Philadelphia,Major League Soccer,MLS
71418,Bazoumana Touré,id,TSG 1899 Hoffenheim,TSG Hoffenheim,Bundesliga,Bundesliga
237046,Guido Villar,id,Independiente del Valle,,Serie A,Libertadores
251429,Fabian Kunze,id,1. FC Kaiserslautern,Kaiserslautern,2. Bundesliga,Bundesliga 2
235849,Mamadou Fofana,id,New England Revolution,New England,Major League Soccer,MLS
153060,Juan Manuel Insaurralde,id,Club Atlético Sarmiento,Sarmiento,Liga Profesional de Fútbol,LPF
266159,Arnau Comas,id,RC Deportivo de La Coruña,RC Deportivo,La Liga 2,LALIGA HYPERMOTION
269639,Arana,id,Racing Santander,R. Racing Club,La Liga 2,LALIGA HYPERMOTION
269512,Kryštof Daněk,id,LASK Linz,LASK,Bundesliga,Ö. Bundesliga
273090,Mateo Mendoza,id,Godoy Cruz,,Liga Profesional de Fútbol,LPF
70703,Matías Reali,id,San Lorenzo de Almagro,San Lorenzo,Liga Profesional de Fútbol,LPF
73456,Štěpán Chaloupek,id,SK Slavia Praha,Slavia Praha,První liga,Česká Liga
230865,Abel Luciatti,id,Cerro Porteño,,División Profesional,Libertadores
237337,Thibaud Verlinden,id,Oud-Heverlee Leuven,OH Leuven,Pro League,1A Pro League
246563,Denis Ciobotariu,id,Rapid Bucuresti,FC Rapid 1923,Liga I,SUPERLIGA
211068,Kenan Kodro,id,Real Zaragoza,,La Liga 2,LALIGA HYPERMOTION
228748,Fernando Fernández,id,Guaraní,,División Profesional,Sudamericana
238180,Claudio Spinelli,id,Independiente del Valle,,Serie A,Libertadores
252903,Shinta Appelkamp,id,Fortuna Düsseldorf,Düsseldorf,2. Bundesliga,Bundesliga 2
276660,Noel Futkeu,id,SpVgg Greuther Fürth,Fürth,2. Bundesliga,Bundesliga 2
238987,Kennedy Boateng,id,Dinamo Bucureşti,FC Dinamo 1948,Liga I,SUPERLIGA
269159,Myron van Brederode,id,KV Mechelen,,Pro League,Eredivisie
233078,Pablo Sabbag,id,Suwon FC,,K League 1,K League 1
255406,Javi Castro,id,Racing Santander,R. Racing Club,La Liga 2,LALIGA HYPERMOTION
207454,Patricio Rodríguez,id,Bolívar,,División de Fútbol Profesional,Libertadores
263549,Edgaras Utkus,id,Cercle Brugge KSV,Cercle Brugge,Pro League,1A Pro League
277519,Juan Gutiérrez,id,CD Mirandés,,La Liga 2,LALIGA HYPERMOTION
229683,Rodrigo Pinho,id,Estrela da Amadora,Estrela Amadora,Primeira Liga,Liga Portugal
227740,Danilo Arboleda,id,CA Banfield,Banfield,Liga Profesional de Fútbol,LPF
271682,Latasa,id,Real Valladolid CF,R. Valladolid CF,La Liga 2,LALIGA HYPERMOTION
201285,Christian Gytkjær,id,SSC Bari,,Serie B,Serie BKT
271658,Xavier Mbuyamba,id,FC Volendam,,Eredivisie,Eredivisie
215178,Erik Godoy,id,Argentinos Juniors,Argentinos Jrs.,Liga Profesional de Fútbol,LPF
248405,Mark McGuinness,id,Sheffield United,Sheffield Utd,Championship,EFL Championship
259298,Maximiliano Falcón,id,Inter Miami,Inter Miami CF,Major League Soccer,MLS
255043,Daryl Dike,id,West Bromwich Albion,West Brom,Championship,EFL Championship
263157,Nasser Djiga,id,Rangers FC,Rangers,Premiership,Scottish Prem
252095,Riccieli,id,Qingdao West Coast FC,Qingdao W. Coast,Super League,CSL
264191,Gustaf Lagerbielke,id,Sporting Clube de Braga,SC Braga,Primeira Liga,Liga Portugal
271620,Leo Bolgado,id,Rapid Bucuresti,FC Rapid 1923,Liga I,SUPERLIGA
247459,Sean Nealis,id,New York Red Bulls,Red Bulls,Major League Soccer,MLS
248137,Facundo Rodríguez,id,Estudiantes de La Plata,Estudiantes,Liga Profesional de Fútbol,LPF
244947,Luciano Pons,id,Atlético Bucaramanga,,Categoría Primera A,Libertadores
236573,Pablo Vázquez,id,Real Sporting de Gijón,R. Sporting,La Liga 2,LALIGA HYPERMOTION
259074,Albian Hajdari,id,TSG 1899 Hoffenheim,TSG Hoffenheim,Bundesliga,Bundesliga
203137,Robin Jansson,id,Orlando City SC,Orlando City,Major League Soccer,MLS
238862,Lucas Possignolo,id,Zhejiang FC,Zhejiang Pro,Super League,CSL
259657,Renzo Garcés,id,Alianza Lima,,Liga 1,Libertadores
192559,Gerrit Nauber,id,Go Ahead Eagles,,Eredivisie,Eredivisie
73163,João Goulart,id,Casa Pia,Casa Pia AC,Primeira Liga,Liga Portugal
277022,Jan-Carlo Simić,id,Al Ittihad,RSC Anderlecht,Pro League,1A Pro League
233780,Alexis Maldonado,id,Belgrano de Córdoba,Banfield,Liga Profesional de Fútbol,LPF
226170,Emiliano Amor,id,Colo-Colo,,Primera Division,Libertadores
223064,Fabián Noguera,id,Newell's Old Boys,Newell's,Liga Profesional de Fútbol,LPF
240926,Nat Phillips,id,West Bromwich Albion,West Brom,Championship,EFL Championship
268067,Christiaan Ravych,id,Cercle Brugge KSV,Cercle Brugge,Pro League,1A Pro League
239998,Petko Hristov,id,Spezia,,Serie B,Serie BKT
246157,Ewoud Pletinckx,id,Oud-Heverlee Leuven,OH Leuven,Pro League,1A Pro League
266554,Matías Di Benedetto,id,Universitario de Deportes,,Liga 1,Libertadores
261143,Marko Bulat,id,Raków Częstochowa,Raków,Ekstraklasa,PKO BP Ekstraklasa
226677,Juninho Bacuna,id,Gaziantep FK,Gaziantep,Süper Lig,Trendyol Süper Lig
239732,Szymon Żurkowski,id,Spezia,,Serie B,Serie BKT
211177,Arnór Ingvi Traustason,id,IFK Norrköping,,Allsvenskan,Allsvenskan
